Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5271779,3,1,12,0,6,0,4.0,3.4641016151,0,0,0.0,0.0,2.2762714446,0.7587571482,1757259.66666667,2949656.65198262,5162649,95,5271779,2635889.5,3573377.55375506,5162649,109130,0,0.0,0.0,0,0,0,0,72,32,0.5690678612,0.1896892871,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,153756,10,5,1140,943,901,0,114.0,280.1793076664,805,0,188.6,349.721031681,13547.4387991363,97.5571685007,10982.5714285714,17232.1893100552,42224,4,153756,17084.0,22016.9087975583,52270,4,97563,24390.75,22055.6604884853,43481,280,0,0,332,168,65.0381123338,32.5190561669,0,901,130.1875,286.6301260626,82156.8291666667,0,0,0,1,0,0,0,0,0,138.8666666667,114.0,188.6,332,10,1140,5,943,65535,362,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,312614,15,10,974,7387,469,0,64.9333333333,134.2659762596,1581,0,738.7,750.4129307699,26745.4432622979,79.9708266424,13025.5833333333,23416.5441550769,75965,1,312614,22329.5714285714,27652.5778203387,76628,1,236590,26287.7777777778,40432.7027595787,98944,1,0,0,492,328,47.9824959855,31.988330657,0,1581,321.5769230769,571.0263162466,326071.053846154,0,0,0,1,0,0,0,0,0,334.44,64.9333333333,738.7,492,15,974,10,7387,65535,357,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,62774,2,2,64,200,32,32,32.0,0.0,100,100,100.0,0.0,4205.5628126294,63.7206486762,20924.6666666667,36200.158181054,62725,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,40,80,31.8603243381,31.8603243381,32,100,59.2,37.2451339104,1387.2,0,0,0,0,0,0,0,0,1,74.0,32.0,100.0,40,2,64,2,200,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
123,68044766,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.8216718388,0.05878483,22681588.6666667,39208425.7595369,67955579,44475,68000054,68000054.0,0.0,68000054,68000054,68000291,68000291.0,0.0,68000291,68000291,0,0,40,40,0.029392415,0.029392415,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,40,2,96,2,96,-1,-1,1,20,44475.0,0.0,44475,44475,67955579.0,0.0,67955579,67955579,BENIGN
123,66082328,2,2,96,96,48,48,48.0,0.0,48,48,48.0,0.0,2.9054666476,0.0605305552,22027442.6666667,38012592.7671071,65920604,80813,66001515,66001515.0,0.0,66001515,66001515,66001417,66001417.0,0.0,66001417,66001417,0,0,52,40,0.0302652776,0.0302652776,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,52,2,96,2,96,-1,-1,1,20,80911.0,0.0,80911,80911,65920604.0,0.0,65920604,65920604,BENIGN
53,101182,4,2,136,482,34,34,34.0,0.0,241,241,241.0,0.0,6107.8057361981,59.2990848175,20236.4,30025.0576568972,66953,3,66960,22320.0,38653.3118503447,66953,3,4,4.0,0.0,4,4,0,0,80,40,39.5327232116,19.7663616058,34,241,93.1428571429,101.0056575502,10202.1428571429,0,0,0,0,0,0,0,0,0,108.6666666667,34.0,241.0,80,4,136,2,482,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5543,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,2164.8926574057,360.815442901,5543.0,0.0,5543,5543,5543,5543.0,0.0,5543,5543,0,0.0,0.0,0,0,0,0,40,0,360.815442901,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,2,12,0,0,252,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,215225,21,16,1794,15655,1317,0,85.4285714286,288.9402310909,1418,0,978.4375,628.289314329,81073.2953885469,171.9131141828,5978.4722222222,14107.7560339514,51992,3,215225,10761.25,17877.6524241123,52417,3,169766,11317.7333333333,25297.4695105676,88838,3,0,0,684,520,97.5723080497,74.3408061331,0,1418,459.1842105263,637.7607301592,406738.748933144,0,0,0,1,0,0,0,0,0,471.5945945946,85.4285714286,978.4375,684,21,1794,16,15655,65535,362,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5806188,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.6889201659,1935396.0,3331890.31652364,5782708,84,5806188,2903094.0,4072389.17319944,5782708,23480,0,0.0,0.0,0,0,0,0,104,40,0.5166901244,0.1722300415,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
